#OBJECTID,x,y
1,264222.5312500,664754.1875000
2,264220.7500000,664646.4375000
3,264209.1562500,664578.6875000
4,264178.8750000,664516.3750000
5,264357.9062500,664486.0625000
6,264344.0000000,664559.8750000
7,264493.0937500,664588.0625000
8,264541.0937500,664530.1250000
9,264484.1562500,664656.1250000
10,264599.5312500,664576.7500000
11,264617.5312500,664682.0625000
12,264682.0937500,664577.8125000
13,264843.4687500,664731.8125000
14,264869.9375000,664588.9375000
15,264876.2812500,664494.1875000
16,264681.0312500,664480.4375000
17,264678.9062500,664521.1875000
18,264601.6562500,664491.0000000
19,264791.7500000,664442.5000000
20,264735.0000000,664422.6250000
21,264755.2500000,664441.6875000
22,264714.7500000,664440.8750000
23,264837.7812500,664430.1875000
24,264936.2187500,664452.8125000
25,264927.8750000,664768.3125000
26,264744.0000000,664581.0000000
27,264139.8750000,664419.0000000
28,264340.9687500,664648.8750000
