#OBJECTID,x,y
29,264872.7187500,664588.6250000
31,264771.9687500,664486.5625000
32,264561.4687500,664536.7500000
33,264148.9687500,664439.7500000
34,264496.1562500,664592.3125000
36,264838.9062500,664743.7500000
37,264623.0625000,664627.7500000
38,264219.9687500,664573.6250000
39,264221.0312500,664798.5625000
40,264674.0625000,664524.7500000
42,264446.9375000,664653.0000000
43,264935.5625000,664740.7500000
44,264738.6875000,664428.5625000
45,264485.8125000,664433.2500000
46,264745.2500000,664596.3750000
47,264881.8125000,664426.0625000
48,264657.5000000,664682.1250000
49,264357.0000000,664480.8750000
